WATER_TYPE_NAME,Mgmt_Unit,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LAST_ASSESSED_CYCLE,DWQ_Category,EPA_IR_CATEGORY_ID,PARAMETER_CODE_NAME,PARAMETER_ATTAINMENT,Parameter_Status,Uses,FIRST_LISTED_CYCLE,CWA303D_PRIORITY_RANKING,WATER_SIZE,UNITS
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14030004-001_00,Dark Canyon Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,5.0805,Acres
"LAKE, FRESHWATER",Southeast Colorado River,UT-L-14030005-004_00,Kens Lake,2022,Fully Supporting,1,NA,NA,NA,NA,NA,NA,77.5063,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-001_00,Hoop Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,171.3864,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-002_00,Spirit Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,41.9975,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-016_00,Sheep Creek Lake,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,81.1028,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-019_00,Browne Lake,2022,Not Supporting,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2022,Low,48.0854,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-019_00,Browne Lake,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,48.0854,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-021_00,Flaming Gorge Reservoir,2022,Not Supporting,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,12525.0402,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-026_00,Crouse Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,110.8572,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-031_00,Beaver Meadow Reservoir,2020,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,105.6636,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-032_00,Long Park Reservoir,2022,No Evidence of Impairment,2,NA,NA,NA,NA,NA,NA,300.6353,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,DISSOLVED OXYGEN,Not meeting criteria,TMDL Approved (33618),Aquatic Wildlife (Cold Water),1998,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,PH,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,HARMFUL ALGAL BLOOMS,Not meeting criteria,TMDL Needed,Recreation and Aesthetics (Infrequent Primary Contact),2020,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,TEMPERATURE,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),1996,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,EUTROPHICATION,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-033_00,Matt Warner Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (33618),Aquatic Wildlife (Cold Water),1998,Low,364.0639,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"PHOSPHORUS, TOTAL",Not meeting criteria,TMDL Approved (33613),Aquatic Wildlife (Cold Water),1998,Low,94.158,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,"AMMONIA, TOTAL",Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2020,Low,94.158,Acres
"LAKE, FRESHWATER",Uinta Basin,UT-L-14040106-034_00,Calder Reservoir,2022,Not Supporting but has Approved TMDL for some parameters,5,EUTROPHICATION,Not meeting criteria,TMDL Needed,Aquatic Wildlife (Cold Water),2016,Low,94.158,Acres
